class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-root,stem-surface,stem-color,has-ring,ring-type,spore-print-color,habitat,season,stem-width_cm
1,15.26,x,g,o,f,e,c,w,5.95,s,y,w,t,g,w,d,w,1.709
1,5.86,x,g,o,f,e,c,w,5.95,s,y,w,t,g,u,d,u,1.8190000000000002
1,14.07,x,g,o,f,e,c,w,5.95,s,y,w,t,g,k,d,w,1.7739999999999998
1,14.17,f,h,e,f,e,c,w,5.95,s,y,w,t,p,n,d,w,1.598
1,14.64,x,h,o,f,e,c,w,5.95,s,y,w,t,p,k,d,w,1.72
1,15.34,x,g,o,f,e,d,w,5.95,s,y,w,t,p,w,d,u,1.879
1,14.85,f,h,o,f,e,c,w,5.95,s,y,w,t,g,u,d,w,1.689
1,14.86,x,h,e,f,e,d,w,5.95,s,y,w,t,p,g,d,u,1.7440000000000002
1,12.85,f,g,o,f,e,d,w,5.95,s,y,w,t,p,k,d,a,1.8690000000000002
1,13.55,f,g,e,f,e,c,w,5.95,s,y,w,t,p,k,d,w,1.688
1,14.17,f,h,e,f,e,c,w,5.95,s,y,w,t,p,k,d,a,1.802
1,13.4,x,h,o,f,e,f,w,5.95,s,y,w,t,p,p,d,u,1.714
1,5.86,x,h,o,f,e,c,w,5.95,s,y,w,t,g,p,d,u,1.827
1,5.86,x,h,o,f,e,c,w,5.95,s,y,w,t,p,k,d,u,1.811
1,15.37,x,h,e,f,e,c,w,5.95,s,y,w,t,g,k,d,a,1.8379999999999999
1,15.54,f,h,e,f,e,c,w,5.95,s,y,w,t,p,g,d,a,1.7870000000000001
1,15.19,x,g,e,f,e,c,w,5.95,s,y,w,t,p,u,d,a,1.7670000000000001
1,5.86,x,h,o,f,e,c,w,5.95,s,y,w,t,p,k,d,a,1.8539999999999999
1,5.86,x,g,o,f,e,c,w,5.95,s,y,w,t,p,k,d,w,1.89
1,5.86,x,h,e,f,e,c,w,5.95,s,y,w,t,p,p,d,u,1.781
1,13.0,f,g,e,f,e,c,w,5.95,s,y,w,t,g,g,d,w,1.719
1,13.06,x,g,e,f,e,c,w,5.95,s,y,w,t,g,w,d,u,1.738
1,5.86,x,h,o,f,e,d,w,5.95,s,y,w,t,g,u,d,w,1.7920000000000003
1,14.39,x,g,e,f,e,c,w,5.95,s,y,w,t,p,w,d,w,1.748
1,15.56,f,g,o,f,e,c,w,5.95,s,y,w,t,p,k,d,u,1.6989999999999998
1,13.2,x,g,o,f,e,d,w,5.95,s,y,w,t,p,n,d,w,1.69
1,13.9,f,h,e,f,e,c,w,5.95,s,y,w,t,g,u,d,u,1.777
1,5.86,f,g,o,f,e,c,w,5.95,s,y,w,t,p,n,d,u,1.799
1,13.3,x,h,e,f,e,c,w,5.95,s,y,w,t,p,w,d,a,1.752
1,15.95,f,g,o,f,e,c,w,5.95,s,y,w,t,g,w,d,w,1.6649999999999998
1,5.86,x,g,o,f,e,c,w,5.95,s,y,w,t,g,p,d,a,1.812
1,14.1,f,g,o,f,e,c,w,5.95,s,y,w,t,p,k,d,u,1.6760000000000002
1,13.81,f,h,o,f,e,f,w,5.95,s,y,w,t,g,r,d,a,1.7109999999999999
1,14.67,f,h,o,f,e,c,w,5.95,s,y,w,t,p,k,d,a,1.677
1,14.23,f,h,e,f,e,c,w,5.95,s,y,w,t,p,n,d,u,1.723
1,14.78,f,g,e,f,e,c,w,5.95,s,y,w,t,p,n,d,u,1.7129999999999999
1,15.08,x,g,e,f,e,c,w,5.95,s,y,w,t,g,n,d,w,1.78
1,16.0,x,g,e,f,e,c,w,5.95,s,y,w,t,g,k,d,u,1.722
1,14.76,f,g,o,f,e,d,w,5.95,s,y,w,t,p,k,d,a,1.754
1,14.89,x,g,e,f,e,d,w,5.95,s,y,w,t,g,p,d,w,1.807
1,13.05,f,g,e,f,e,c,w,5.95,s,y,w,t,p,k,d,w,1.717
1,13.03,f,h,e,f,e,c,w,5.95,s,y,w,t,p,n,d,w,1.707
1,14.07,f,g,o,f,e,c,w,5.95,s,y,w,t,p,k,d,w,1.7760000000000002
1,15.09,f,g,o,f,e,c,w,5.95,s,y,w,t,g,k,d,a,1.815
1,12.22,f,h,o,f,e,c,w,5.95,s,y,w,t,g,p,d,w,1.762
1,15.12,x,g,e,f,e,c,w,5.95,s,y,w,t,g,w,d,a,1.72
1,5.86,f,g,e,f,e,c,w,5.95,s,y,w,t,g,w,d,w,1.9789999999999999
1,12.27,f,g,o,f,e,c,w,5.95,s,y,w,t,g,k,d,w,1.717
1,16.03,f,g,o,f,e,c,w,5.95,s,y,w,t,g,w,d,u,1.937
1,5.86,x,g,o,f,e,c,w,5.95,s,y,w,t,g,k,d,w,1.829
1,14.96,f,h,o,f,e,c,w,5.95,s,y,w,t,p,k,d,w,1.828
1,15.9,f,h,e,f,e,c,w,5.95,s,y,w,t,g,k,d,w,1.754
1,15.48,x,g,e,f,e,f,w,5.95,s,y,w,t,p,k,d,u,1.814
1,15.63,f,h,o,f,e,c,w,5.95,s,y,w,t,g,k,d,a,1.682
1,14.8,x,g,o,f,e,c,w,5.95,s,y,w,t,g,k,d,w,1.7420000000000002
1,16.0,x,h,o,f,e,f,w,5.95,s,y,w,t,g,w,d,w,1.796
1,15.07,f,h,o,f,e,c,w,5.95,s,y,w,t,g,k,d,u,1.7510000000000001
1,13.12,x,h,e,f,e,c,w,5.95,s,y,w,t,p,n,d,a,1.7890000000000001
1,13.82,f,h,o,f,e,c,w,5.95,s,y,w,t,p,n,d,u,1.714
1,5.86,x,h,e,f,e,f,w,5.95,s,y,w,t,g,n,d,u,1.859
1,12.57,x,g,o,f,e,c,w,5.95,s,y,w,t,p,w,d,a,1.5699999999999998
1,14.85,x,h,o,f,e,d,w,5.95,s,y,w,t,g,k,d,a,1.6460000000000001
1,12.55,x,g,e,f,e,c,w,5.95,s,y,w,t,g,k,d,u,1.739
1,13.53,x,g,e,f,e,f,w,5.95,s,y,w,t,g,p,d,a,1.691
1,5.86,x,h,e,f,e,c,w,5.95,s,y,w,t,p,g,d,w,1.7269999999999999
1,15.73,x,h,o,f,e,c,w,5.95,s,y,w,t,p,p,d,u,1.759
1,11.46,x,h,o,f,e,c,w,5.95,s,y,w,t,g,n,d,w,1.839
1,15.06,f,g,o,f,e,d,w,5.95,s,y,w,t,p,k,d,w,1.61
1,5.86,x,h,e,f,e,c,w,5.95,s,y,w,t,p,g,d,a,1.7670000000000001
1,13.78,f,h,o,f,e,c,w,5.95,s,y,w,t,g,k,d,w,1.7600000000000002
1,5.86,f,h,e,f,e,c,w,5.95,s,y,w,t,g,n,d,u,1.923
1,5.86,f,g,o,f,e,d,w,5.95,s,y,w,t,g,p,d,u,1.783
1,5.86,x,h,e,f,e,c,w,5.95,s,y,w,t,p,n,d,u,1.903
1,14.11,f,h,e,f,e,c,w,5.95,s,y,w,t,g,k,d,u,1.623
1,5.86,f,g,o,f,e,d,w,5.95,s,y,w,t,p,w,d,u,1.7600000000000002
1,13.59,x,g,o,f,e,d,w,5.95,s,y,w,t,p,g,d,w,1.887
1,5.86,f,g,o,f,e,d,w,5.95,s,y,w,t,g,w,d,u,1.8350000000000002
1,12.13,f,g,e,f,e,d,w,5.95,s,y,w,t,p,p,d,a,1.6620000000000001
1,12.29,x,h,e,f,e,c,w,5.95,s,y,w,t,p,k,d,a,1.565
1,14.74,x,h,o,f,e,c,w,5.95,s,y,w,t,p,p,d,w,1.746
1,15.13,f,h,e,f,e,c,w,5.95,s,y,w,t,p,p,d,u,1.7239999999999998
1,13.66,f,g,o,f,e,c,w,5.95,s,y,w,t,g,w,d,u,1.6649999999999998
1,13.3,x,g,e,f,e,c,w,5.95,s,y,w,t,p,w,d,w,1.719
1,14.16,f,g,o,f,e,c,w,5.95,s,y,w,t,g,n,d,w,1.6190000000000002
1,5.86,x,h,o,f,e,f,w,5.95,s,y,w,t,p,k,d,a,1.847
1,15.55,f,g,e,f,e,c,w,5.95,s,y,w,t,p,w,d,a,1.784
1,14.28,f,g,e,f,e,c,w,5.95,s,y,w,t,p,k,d,a,1.7579999999999998
1,5.86,x,g,e,f,e,d,w,5.95,s,y,w,t,g,w,d,w,1.8809999999999998
1,15.55,x,h,e,f,e,d,w,5.95,s,y,w,t,p,p,d,w,1.6969999999999998
1,15.08,x,h,o,f,e,c,w,5.95,s,y,w,t,p,k,d,u,1.682
1,12.02,f,g,o,f,e,d,w,5.95,s,y,w,t,p,k,d,a,1.661
1,13.69,f,g,e,f,e,d,w,5.95,s,y,w,t,p,p,d,u,1.584
1,15.36,f,g,o,f,e,c,w,5.95,s,y,w,t,p,k,d,a,1.597
